date,ticker,action,price,size,reason,pnl_pct
2024-09-02,BAJFINANCE.NS,BUY,722.9391132945083,7,RHS Breakout (Neckline: ₹699.96),
2024-09-03,BAJFINANCE.NS,SELL,741.4250446488375,-7,RSI Overbought,2.5570523180142906
2024-09-04,BAJFINANCE.NS,BUY,721.0457538886552,6,RHS Breakout (Neckline: ₹699.96),
2024-09-04,PERSISTENT.NS,SELL,5218.245715986564,-1,RSI Overbought,14.534888577719505
2024-09-06,COFORGE.NS,SELL,1297.8230693422697,-4,RSI Overbought,8.320928790470779
2024-09-09,ASIANPAINT.NS,SELL,3238.2216676291846,-1,RSI Overbought,3.993008293723484
2024-09-09,COFORGE.NS,BUY,1298.7048022910985,3,CWH Breakout (Handle: ₹1090.22),
2024-09-11,COFORGE.NS,SELL,1348.4880226386767,-3,RSI Overbought,3.8332976254306277
2024-09-12,ASIANPAINT.NS,BUY,3333.478310974793,1,RHS Breakout (Neckline: ₹2907.16),
2024-09-13,INFY.NS,BUY,1901.7342210686957,2,RHS Breakout (Neckline: ₹1424.24),
2024-09-13,ASIANPAINT.NS,SELL,3319.1848081966295,-1,RSI Overbought,-0.4287864340111418
2024-09-16,BAJFINANCE.NS,SELL,763.2901338290761,-6,RSI Overbought,5.8587655100378475
2024-09-16,COFORGE.NS,BUY,1389.693437731661,3,CWH Breakout (Handle: ₹1090.22),
2024-09-17,BAJFINANCE.NS,BUY,729.2501426335815,6,RHS Breakout (Neckline: ₹699.96),
2024-09-17,COFORGE.NS,SELL,1371.6166161961219,-3,RSI Overbought,-1.300777642373075
2024-09-20,HDFCBANK.NS,SELL,846.8037464482039,-6,RSI Overbought,6.847179576713698
2024-09-20,COFORGE.NS,BUY,1380.778803122628,3,CWH Breakout (Handle: ₹1090.22),
2024-10-04,TCS.NS,SELL,4088.2302688328605,-1,Death Cross,-7.670470974370054
2024-10-04,HDFCBANK.NS,BUY,826.0838666813848,6,RHS Breakout (Neckline: ₹773.40),
2024-10-04,ASIANPAINT.NS,BUY,3101.0248121567333,1,RHS Breakout (Neckline: ₹2913.09),
2024-10-08,RELIANCE.NS,SELL,1367.513224520688,-3,Stop Loss,-10.497074124564758
2024-10-08,COFORGE.NS,SELL,1441.0023307886731,-3,RSI Overbought,4.36156229584708
2024-10-14,TCS.NS,BUY,4005.9823729360933,1,RHS Breakout (Neckline: ₹3858.70),
2024-10-17,COFORGE.NS,BUY,1436.0328054566933,3,CWH Breakout (Handle: ₹1090.22),
2024-10-17,MPHASIS.NS,SELL,2947.4057290672777,-1,Death Cross,2.499147508320775
2024-10-18,LT.NS,SELL,3536.9631608978584,-1,Death Cross,-3.6710710616075315
2024-10-18,ASIANPAINT.NS,SELL,3023.870194273002,-1,Death Cross,-2.4880361350630675
2024-10-18,MPHASIS.NS,BUY,3009.85772218591,1,RHS Breakout (Neckline: ₹2417.83),
2024-10-21,DELHIVERY.NS,SELL,397.95001220703125,-11,Death Cross,-7.668210624818736
2024-10-22,TITAN.NS,SELL,3364.773614767125,-1,Death Cross,-1.174234436860509
2024-10-28,BAJFINANCE.NS,SELL,687.7561698816168,-6,Death Cross,-5.6899505843242295
2024-10-29,INFY.NS,SELL,1820.3868971098545,-2,Death Cross,-4.277533792978037
2024-11-01,INFY.NS,BUY,1740.017715602962,2,RHS Breakout (Neckline: ₹1424.24),
2024-11-01,LALPATHLAB.NS,BUY,3090.987995615621,1,RHS Breakout (Neckline: ₹2382.84),
2024-11-05,ASIANPAINT.NS,BUY,2863.6260260006843,1,RHS Breakout (Neckline: ₹2913.09),
2024-11-12,ASIANPAINT.NS,SELL,2507.5273340616236,-1,Stop Loss,-12.435237307728519
2024-11-12,COFORGE.NS,SELL,1618.7645091554052,-3,RSI Overbought,12.724758306659911
2024-11-19,MPHASIS.NS,SELL,2706.3718197103403,-1,Stop Loss,-10.083064732214748
2024-11-25,MPHASIS.NS,BUY,2891.1299096678467,1,RHS Breakout (Neckline: ₹2417.83),
2024-11-26,LT.NS,BUY,3720.203996884119,1,RHS Breakout (Neckline: ₹3610.80),
2024-12-05,HDFCBANK.NS,SELL,917.5968757066108,-6,RSI Overbought,11.077932001366872
2024-12-06,TITAN.NS,BUY,3443.586543660326,1,RHS Breakout (Neckline: ₹3346.03),
2024-12-10,LT.NS,SELL,3918.4552120818294,-1,RSI Overbought,5.3290415085774026
2024-12-11,DELHIVERY.NS,BUY,381.95001220703125,13,RHS Breakout (Neckline: ₹360.40),
2024-12-13,COFORGE.NS,BUY,1821.3482899691928,2,RHS Breakout (Neckline: ₹1537.29),
2024-12-16,COFORGE.NS,SELL,1844.9943154582995,-2,RSI Overbought,1.2982703867971714
2024-12-16,MPHASIS.NS,SELL,3144.61488055277,-1,RSI Overbought,8.767678340474346
2024-12-20,COFORGE.NS,BUY,1934.5725746447902,2,RHS Breakout (Neckline: ₹1537.29),
2024-12-23,LT.NS,BUY,3636.0887444633295,1,RHS Breakout (Neckline: ₹3731.67),
2024-12-23,COFORGE.NS,SELL,1876.8928903287792,-2,RSI Overbought,-2.981520831628743
2024-12-23,MPHASIS.NS,BUY,2918.630655601753,1,RHS Breakout (Neckline: ₹3090.13),
2024-12-31,COFORGE.NS,BUY,1926.6374520069028,2,RHS Breakout (Neckline: ₹1537.29),
2025-01-01,COFORGE.NS,SELL,1924.641481784062,-2,RSI Overbought,-0.10359864128882022
2025-01-06,HDFCBANK.NS,BUY,858.446354149866,5,RHS Breakout (Neckline: ₹820.64),
2025-01-06,BAJFINANCE.NS,BUY,745.400531924833,6,RHS Breakout (Neckline: ₹713.55),
2025-01-06,DELHIVERY.NS,SELL,343.6000061035156,-13,Stop Loss,-10.0405825050029
2025-01-08,COFORGE.NS,BUY,1910.151991845027,2,RHS Breakout (Neckline: ₹1537.29),
2025-01-10,TCS.NS,SELL,4073.9545819959153,-1,Death Cross,1.6967675524244348
2025-01-13,HDFCBANK.NS,SELL,809.0639234971638,-5,Death Cross,-5.752535427983316
2025-01-13,LT.NS,SELL,3473.158149380393,-1,Death Cross,-4.480930101913243
2025-01-14,TCS.NS,BUY,4172.893145525479,1,RHS Breakout (Neckline: ₹4133.88),
2025-01-14,MPHASIS.NS,SELL,2736.7154074258465,-1,Death Cross,-6.232897191933313
2025-01-15,HDFCBANK.NS,BUY,817.2038902170349,6,RHS Breakout (Neckline: ₹820.64),
2025-01-15,COFORGE.NS,SELL,1705.5621069679019,-2,Stop Loss,-10.71065997630432
2025-01-16,LALPATHLAB.NS,SELL,2787.332178677249,-1,Stop Loss,-9.823907998642808
2025-01-16,COFORGE.NS,BUY,1708.5115359104325,2,RHS Breakout (Neckline: ₹1537.29),
2025-01-22,LT.NS,BUY,3530.0772505720984,1,RHS Breakout (Neckline: ₹3610.80),
2025-01-23,INFY.NS,SELL,1832.220432769354,-2,Death Cross,5.298952783043434
2025-01-30,COFORGE.NS,SELL,1747.6924335564183,-2,Death Cross,2.293276739574785
2025-01-31,MPHASIS.NS,BUY,2843.188046979673,1,RHS Breakout (Neckline: ₹2960.15),
2025-02-03,BAJFINANCE.NS,SELL,787.3615741954295,-6,RSI Overbought,5.629328189804394
2025-02-04,BAJFINANCE.NS,BUY,837.3331851986601,5,RHS Breakout (Neckline: ₹713.55),
2025-02-05,BAJFINANCE.NS,SELL,844.7872285257306,-5,RSI Overbought,0.89021233827034
2025-02-06,RELIANCE.NS,BUY,1268.6331564996678,3,Golden Cross,
2025-02-13,COFORGE.NS,BUY,1595.4162990751784,3,RHS Breakout (Neckline: ₹1537.29),
2025-02-14,MPHASIS.NS,SELL,2578.526527415846,-1,Stop Loss,-9.308618184610674
2025-02-17,TITAN.NS,SELL,3185.662937705252,-1,Death Cross,-7.489970200688398
2025-02-19,RELIANCE.NS,SELL,1214.6488125132394,-3,Death Cross,-4.255315550428987
2025-02-20,TCS.NS,SELL,3715.7509099558138,-1,Stop Loss,-10.955042931301769
2025-02-28,BAJFINANCE.NS,BUY,861.186070321473,5,RHS Breakout (Neckline: ₹710.01),
2025-03-03,LT.NS,SELL,3136.696173009949,-1,Stop Loss,-11.143696005474007
2025-03-05,COFORGE.NS,SELL,1499.0841964164192,-3,Stop Loss,-6.03805431313447
2025-03-07,COFORGE.NS,BUY,1511.8136082210033,3,RHS Breakout (Neckline: ₹1537.29),
2025-03-21,LT.NS,BUY,3325.980742840182,1,RHS Breakout (Neckline: ₹3276.69),
2025-03-24,RELIANCE.NS,BUY,1285.86434660882,3,RHS Breakout (Neckline: ₹1247.09),
2025-03-25,HDFCBANK.NS,SELL,890.4143157035983,-6,RSI Overbought,8.95864867543888
2025-03-25,BAJFINANCE.NS,SELL,906.9039145835608,-5,RSI Overbought,5.308706891301862
2025-03-26,HDFCBANK.NS,BUY,900.3302775382388,5,RHS Breakout (Neckline: ₹872.25),
2025-03-26,BAJFINANCE.NS,BUY,904.6230299913868,5,RHS Breakout (Neckline: ₹710.01),
2025-03-28,HDFCBANK.NS,SELL,902.3036249715724,-5,RSI Overbought,0.2191803921922216
2025-04-02,ASIANPAINT.NS,BUY,2306.717661381125,2,Golden Cross,
2025-04-07,HDFCBANK.NS,BUY,869.6450067324856,5,RHS Breakout (Neckline: ₹872.25),
2025-04-07,COFORGE.NS,SELL,1189.3465103055723,-3,Stop Loss,-21.329818448643792
2025-04-17,ASIANPAINT.NS,SELL,2437.411758198833,-2,RSI Overbought,5.665803795834138
2025-04-21,HDFCBANK.NS,SELL,949.170085798879,-5,RSI Overbought,9.144545009830237
2025-04-23,HDFCBANK.NS,BUY,976.2540297557509,5,RHS Breakout (Neckline: ₹892.66),
2025-04-24,LALPATHLAB.NS,BUY,2763.9709194904203,1,Golden Cross,
2025-04-25,TITAN.NS,BUY,3372.45072113993,1,Golden Cross,
2025-04-25,DELHIVERY.NS,BUY,300.70001220703125,16,Golden Cross,
2025-04-28,LALPATHLAB.NS,SELL,2783.8915675057915,-1,RSI Overbought,0.720725673157366
2025-04-29,RELIANCE.NS,SELL,1365.546174970187,-3,RSI Overbought,6.196752291290294
2025-04-30,RELIANCE.NS,BUY,1396.4228227174156,3,RHS Breakout (Neckline: ₹1290.84),
2025-04-30,DELHIVERY.NS,SELL,309.8500061035156,-16,RSI Overbought,3.0428977469361143
2025-05-02,RELIANCE.NS,SELL,1408.3751233126775,-3,RSI Overbought,0.8559227478109355
2025-05-02,ASIANPAINT.NS,BUY,2402.830889056827,2,RHS Breakout (Neckline: ₹2293.74),
2025-05-05,LT.NS,SELL,3319.045560576633,-1,Death Cross,-0.20851540642495658
2025-05-12,LT.NS,BUY,3480.539377919171,1,RHS Breakout (Neckline: ₹3276.69),
2025-05-12,TITAN.NS,SELL,3526.586876196193,-1,RSI Overbought,4.570449438744147
2025-05-12,MPHASIS.NS,BUY,2392.1995505513987,2,Golden Cross,
2025-05-13,LT.NS,SELL,3554.0535832199857,-1,RSI Overbought,2.1121497940001785
2025-05-13,COFORGE.NS,BUY,1675.959431148374,2,RHS Breakout (Neckline: ₹1537.29),
2025-05-14,INFY.NS,BUY,1552.1609377918994,3,RHS Breakout (Neckline: ₹1558.55),
2025-05-15,LALPATHLAB.NS,BUY,2799.429589704414,1,CWH Breakout (Handle: ₹2768.65),
2025-05-15,COFORGE.NS,SELL,1688.8297894252876,-2,RSI Overbought,0.7679397268044073
2025-05-16,RELIANCE.NS,BUY,1447.419102005185,3,RHS Breakout (Neckline: ₹1290.84),
2025-05-16,TCS.NS,BUY,3550.1891985825587,1,RHS Breakout (Neckline: ₹3558.68),
2025-05-16,LT.NS,BUY,3608.3474817321217,1,RHS Breakout (Neckline: ₹3610.80),
2025-05-16,TITAN.NS,BUY,3643.036503649814,1,RHS Breakout (Neckline: ₹3346.03),
2025-05-19,TITAN.NS,SELL,3606.147363842015,-1,RSI Overbought,-1.0125931972090223
