date,ticker,action,price,size,reason,pnl_pct,target_pct
2024-12-05,CAPLIPOINT.NS,BUY,2357.7049725354154,2,CWH Breakout,,12.774169504725766
2025-01-03,EICHERMOT.NS,SELL,5256.837123552465,-1,Target Reached,15.536496375846939,10.193294894448615
2025-03-25,KOTAKBANK.NS,SELL,2177.3894779440443,-3,Target Reached,19.676084193038164,14.667070805790852
2025-05-28,ERIS.NS,SELL,1575.800048828125,-4,Target Reached,5.882720573805695,4.700347010761375
2025-05-29,GLAXO.NS,SELL,3293.0656357808393,-2,Target Reached,12.840064194273095,7.7353405550273076
2025-06-04,HDFCAMC.NS,BUY,4713.346908685331,1,CWH Breakout,,14.341499317747273
2025-06-04,GLAXO.NS,BUY,3259.0,1,CWH Breakout,,23.93127984523627
2025-06-04,FINCABLES.NS,BUY,959.9528980898599,6,RHS Breakout,,7.393443579407776
2025-06-04,RADICO.NS,SELL,2696.090038535027,-2,Target Reached,11.935654091444613,8.676592052857323
2025-06-06,MCX.NS,SELL,7113.332655227097,-1,Target Reached,10.70542413194451,9.428222893352341
2025-06-09,NESTLEIND.NS,BUY,1207.4232968050662,5,CWH Breakout,,24.120991822002978
2025-06-16,ERIS.NS,BUY,1795.0,3,CWH Breakout,,9.172315677228413
2025-06-20,SANOFI.NS,BUY,6030.0,1,RHS Breakout,,8.852962158608001
2025-06-25,KOTAKBANK.NS,BUY,2220.4400621618465,2,CWH Breakout,,10.787222276671152
2025-06-26,TITAN.NS,BUY,3644.0334236165336,1,CWH Breakout,,15.119013854531477
2025-07-10,NAM-INDIA.NS,SELL,807.7000122070312,-9,Target Reached,17.003405560572194,15.709975719664563
2025-07-10,BANKBEES.NS,BUY,588.489990234375,11,CWH Breakout,,11.264424143989412
2025-07-18,HDFCAMC.NS,SELL,5528.5,-1,Target Reached,17.294570230181407,14.341499317747273
2025-07-18,RADICO.NS,BUY,2738.0291553280595,2,CWH Breakout,,18.26769087248403
2025-09-15,BAJFINANCE.NS,SELL,999.0,-6,Target Reached,24.68576997830519,22.3589028010771
2025-09-15,HDFCAMC.NS,BUY,5791.0,1,CWH Breakout,,22.077399365664395
